127.0.0.1 - - [06/Dec/2023:09:03:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:03:24 +0900] "GET /recycle/index.jsp HTTP/1.1" 200 10640
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:03:24 +0900] "GET /recycle/CSS/header_footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:03:24 +0900] "GET /recycle/script/loginSession.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:03:25 +0900] "GET /recycle/jsp/session.jsp HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:03:26 +0900] "GET /recycle/html/login.jsp HTTP/1.1" 200 5389
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:03:26 +0900] "GET /recycle/CSS/header_footer_noside.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:03:26 +0900] "GET /recycle/script/loginSession2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:03:26 +0900] "GET /recycle/jsp/session.jsp HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:03:34 +0900] "POST /recycle/jsp/loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:03:34 +0900] "GET /recycle/index.jsp HTTP/1.1" 200 10640
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:03:34 +0900] "GET /recycle/jsp/session.jsp HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:03:36 +0900] "GET /recycle/html/profil.jsp HTTP/1.1" 200 10804
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:03:36 +0900] "GET /recycle/script/profil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:03:36 +0900] "GET /recycle/images/%ED%95%9C%ED%9C%98%EC%9C%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:03:36 +0900] "GET /recycle/jsp/wordcloudData.jsp HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:03:43 +0900] "GET /recycle/index.jsp HTTP/1.1" 200 10640
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:03:43 +0900] "GET /recycle/jsp/session.jsp HTTP/1.1" 200 20
