127.0.0.1 - - [01/Dec/2023:08:58:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:26 +0900] "GET /recycle/index.html HTTP/1.1" 200 8696
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:26 +0900] "GET /recycle/CSS/header_footer.css HTTP/1.1" 200 6488
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:26 +0900] "GET /recycle/script/loginSession.js HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:27 +0900] "GET /recycle/jsp/session.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:33 +0900] "GET /recycle/html/login.html HTTP/1.1" 200 5410
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:33 +0900] "GET /recycle/script/loginSession2.js HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:33 +0900] "GET /recycle/jsp/session.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:40 +0900] "POST /recycle/jsp/loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:40 +0900] "GET /recycle/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:40 +0900] "GET /recycle/jsp/session.jsp HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:45 +0900] "GET /recycle/jsp/session.jsp HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:49 +0900] "GET /recycle/html/dash.html HTTP/1.1" 200 9277
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:49 +0900] "GET /recycle/CSS/dash.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:49 +0900] "GET /recycle/jsp/session.jsp HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:49 +0900] "GET /images/logo%204.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:50 +0900] "GET /recycle/html/greeting.html HTTP/1.1" 200 7465
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:50 +0900] "GET /recycle/CSS/greeting_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:50 +0900] "GET /recycle/jsp/session.jsp HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:51 +0900] "GET /recycle/html/manager.html HTTP/1.1" 200 7757
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:51 +0900] "GET /recycle/CSS/manager.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:51 +0900] "GET /recycle/jsp/session.jsp HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:51 +0900] "GET /recycle/favicon.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:53 +0900] "GET /recycle/jsp/session.jsp HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:54 +0900] "GET /recycle/html/greeting.html HTTP/1.1" 200 7465
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:54 +0900] "GET /recycle/CSS/greeting_style.css HTTP/1.1" 200 2287
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:54 +0900] "GET /recycle/CSS/reset.css HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:54 +0900] "GET /recycle/CSS/header_style.css HTTP/1.1" 200 5783
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:54 +0900] "GET /recycle/CSS/footer_style.css HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:54 +0900] "GET /recycle/CSS/sidebar_style.css HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:54 +0900] "GET /recycle/images/logo.svg HTTP/1.1" 200 48369
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:54 +0900] "GET /recycle/script/header_script.js HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:54 +0900] "GET /recycle/script/loginSession2.js HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:54 +0900] "GET /recycle/images/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EC%84%A4%EA%B3%844.png HTTP/1.1" 200 96720
0:0:0:0:0:0:0:1 - - [01/Dec/2023:08:58:54 +0900] "GET /recycle/images/%EC%8A%A4%ED%82%A4%EB%A7%88.jpg HTTP/1.1" 200 61023
