127.0.0.1 - - [05/Dec/2023:10:02:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:51 +0900] "GET /recycle/index.jsp HTTP/1.1" 200 10640
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:51 +0900] "GET /recycle/CSS/header_footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:51 +0900] "GET /recycle/script/loginSession.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:53 +0900] "GET /recycle/jsp/session.jsp HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:54 +0900] "GET /recycle/html/login.jsp HTTP/1.1" 200 5389
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:54 +0900] "GET /recycle/script/loginSession2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:54 +0900] "GET /recycle/CSS/header_footer_noside.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:02:54 +0900] "GET /recycle/jsp/session.jsp HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:03:06 +0900] "POST /recycle/jsp/loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:03:06 +0900] "GET /recycle/index.jsp HTTP/1.1" 200 10640
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:03:06 +0900] "GET /recycle/jsp/session.jsp HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:03:12 +0900] "GET /recycle/html/profil.jsp HTTP/1.1" 200 10740
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:03:12 +0900] "GET /recycle/images/%EC%A0%84%EC%A7%80%ED%98%842.jpg HTTP/1.1" 200 6671
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:03:12 +0900] "GET /recycle/CSS/profil.css HTTP/1.1" 200 7223
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:03:12 +0900] "GET /recycle/script/profil.js HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:03:13 +0900] "GET /recycle/jsp/wordcloudData.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:52 +0900] "GET /recycle/html/profil.jsp HTTP/1.1" 200 10769
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:52 +0900] "GET /recycle/CSS/profil.css HTTP/1.1" 200 7223
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:52 +0900] "GET /recycle/images/%EC%A0%84%EC%A7%80%ED%98%842.jpg HTTP/1.1" 200 6671
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:52 +0900] "GET /recycle/CSS/footer_style.css HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:52 +0900] "GET /recycle/CSS/reset.css HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [05/Dec/2023:10:06:52 +0900] "GET /recycle/images/ico_image.svg HTTP/1.1" 200 851
